Coercivity,Crystal_Structure,Curie,Curie(Tc),Curie_Weiss,Curie_Weiss(θp),DOI,Experimental,Lattice_Parameters,Lattice_Structure,Magnetic_Moment,Magnetization,Material_Name,Neel,Neel(Tn),New_Column_Concatenated,Remanence,Space_Group,Susceptibility
,Face-centered-cubic (fcc),627,627 K,,,10.1016/j.jmmm.2006.10.240,TRUE,,,,,Ni,,,Ni1,,,
"5 kOe at 10 K, 0.8 kOe at 40 K",Orthorhombic Perovskite,,,,,10.1016/j.jmmm.2004.04.108,TRUE,,Orthorhombic,,,Nd0.93MnO2.96,80,80 K,O2.96Mn1Nd0.93,"33 emu/g at 10 K, 12 emu/g at 40 K",Pnma,
100 Oe,Wurtzite,750,750 K,,,10.1016/j.jmmm.2006.06.012,TRUE,{'c': '0.529 nm'},Hexagonal,1.1 μB/Co,,Co0.04Zn0.96O,,,O1Co0.04Zn0.96,,,
,,,,,,10.1016/j.jmmm.2003.11.159,TRUE,,,0.25 μB/U,,URu2Si2,17,17 K,Si2.0Ru2.0U1,,,
,Body centered tetragonal,70,70 K,,,10.1016/j.jmmm.2003.12.1226,TRUE,,,,,La1.4Sr1.6Mn2O7,100,100 K,O7.0Mn2.0Sr1.6La1.4,,I4/mmm,
1.72 T at 4 K,Monoclinic,76,76 K,77 K,77,10.1016/j.jmmm.2020.166821,TRUE,,P21/n,2.2 μB at 5 K,4.12 μB/f.u. at 2.7 K and 8 T,Y2CoMnO6,,,O6.0Mn1Co1Y2.0,,P21/n,
467 Oe,Monoclinic,54,54 K,,,10.1016/j.jmmm.2020.167427,TRUE,"{'a': '5.22 Å', 'b': '5.55 Å', 'c': '7.48 Å'}",Pseudo-cubic,,0.84 × 10^2 emu/cm^3,Y2NiMnO6,,,O6.0Mn1Ni1Y2.0,,P21/n,
1001 Oe,Monoclinic,79,79 K,,,10.1016/j.jmmm.2020.167427,TRUE,"{'a': '5.22 Å', 'b': '5.55 Å', 'c': '7.48 Å'}",Pseudo-cubic,,1.48 × 10^2 emu/cm^3,Y2NiMnO6,,,O6.0Mn1Ni1Y2.0,,P21/n,
1887 Oe,Monoclinic,75,75 K,,,10.1016/j.jmmm.2020.167427,TRUE,"{'a': '5.22 Å', 'b': '5.55 Å', 'c': '7.48 Å'}",Pseudo-cubic,,0.80 × 10^2 emu/cm^3,Y2NiMnO6,,,O6.0Mn1Ni1Y2.0,,P21/n,
1247 Oe,Monoclinic,81,81 K,,,10.1016/j.jmmm.2020.167427,TRUE,"{'a': '5.22 Å', 'b': '5.55 Å', 'c': '7.48 Å'}",Pseudo-cubic,,1.16 × 10^2 emu/cm^3,Y2NiMnO6,,,O6.0Mn1Ni1Y2.0,,P21/n,
,,280,280 K,,,10.1016/j.jmmm.2020.167427,TRUE,,,,,La2NiMnO6,,,O6.0Mn1Ni1La2.0,,,
,Body-Centered Cubic,,,60 to -3.5 K,31.75,10.1016/j.jmmm.2003.11.038,TRUE,{'a': '18.28 Å'},BCC,3.1 μB,,BaCuO2.00,15,15 K,O2.0Cu1Ba1,,,
1.5 A/cm at 4.2 K,,10.3,10.3 K,,,10.1016/S0304-8853(00)01387-1,TRUE,,,,,Pd0.9965Fe0.0035Mn0.05,,,Mn0.05Fe0.0035Pd0.9965,,,
,Hexagonal,318,318 K,,,10.1016/j.jmmm.2021.167952,TRUE,"{'a': '0.6796 nm', 'c': '0.4726 nm'}",,1.5–1.7 μB,,Mn1Fe4Si3,,,Si3.0Mn1.0Fe4.0,,P 63/mcm,
,Hexagonal,308,308 K,,,10.1016/j.jmmm.2021.167952,TRUE,,,,,Mn1.1Fe3.9Si3,,,Si3.0Mn1.1Fe3.9,,P 63/mcm,
,Hexagonal,296,296 K,,,10.1016/j.jmmm.2021.167952,TRUE,"{'a': '0.6814 nm', 'c': '0.4728 nm'}",,,,Mn1.2Fe3.8Si3,,,Si3.0Mn1.2Fe3.8,,P 63/mcm,
,Hexagonal,286,286 K,,,10.1016/j.jmmm.2021.167952,TRUE,,,,,Mn1.3Fe3.7Si3,,,Si3.0Mn1.3Fe3.7,,P 63/mcm,
,Perovskite,250,250K,,,10.1016/j.jmmm.2003.12.1124,TRUE,,,,,Nd0.5Sr0.5MnO3,225,225K,O3.0Mn1Sr0.5Nd0.5,,,
,Orthorhombic,,,-4.2 K,-4.2,10.1016/S0304-8853(02)00380-3,TRUE,"{'a': '15.046 Å', 'b': '7.016 Å', 'c': '4.580 Å'}",Gd3Cu4Ge4-type,1.6 μB/Pr-ion,,Pr3Cu4Sn4,11.8,11.8 K,Cu4.0Sn4.0Pr3.0,,Immm,
,Orthorhombic,,,-8.7 K,-8.7,10.1016/S0304-8853(02)00380-3,TRUE,"{'a': '14.990 Å', 'b': '6.999 Å', 'c': '4.562 Å'}",Gd3Cu4Ge4-type,1.6 μB/Nd-ion,,Nd3Cu4Sn4,1.8,1.8 K,Cu4.0Sn4.0Nd3.0,,Immm,
,Orthorhombic,,,,,10.1016/S0304-8853(02)00380-3,TRUE,"{'a': '14.856 Å', 'b': '6.968 Å', 'c': '4.520 Å'}",Gd3Cu4Ge4-type,,,Sm3Cu4Sn4,7.5,"5 K, 7.5 K, 8.5 K, 9 K",Cu4.0Sn4.0Sm3.0,,Immm,
,Orthorhombic,,,-12.5 K,-12.5,10.1016/S0304-8853(02)00380-3,TRUE,"{'a': '15.098 Å', 'b': '7.022 Å', 'c': '4.597 Å'}",Gd3Cu4Ge4-type,,,Ce3Cu4Sn4,10.4,10.4 K,Cu4.0Sn4.0Ce3.0,,Immm,
,Orthorhombic,,,-39.5 K,-39.5,10.1016/S0304-8853(02)00380-3,TRUE,"{'a': '14.789 Å', 'b': '6.956 Å', 'c': '4.500 Å'}",Gd3Cu4Ge4-type,,,Gd3Cu4Sn4,13,13 K,Cu4.0Sn4.0Gd3.0,,Immm,
,Orthorhombic,,,,,10.1016/S0304-8853(02)00380-3,TRUE,,Gd3Cu4Ge4-type,,,Yb3Cu4Ge4,7.5,7.5 K,Cu4.0Ge4.0Yb3.0,,Immm,
115 Oe (at 100 K),Inverse Heusler (XA),20.5,20.5 K,29.76 K,29.76,10.1016/j.jmmm.2020.167522,TRUE,{'a': '5.76 Å'},fcc,0.11 μB/f.u. (at 5 K),,Cr2CoAl,,,Al1Cr2.0Co1,0.0004 μB/f.u. (at 100 K),F-43m,1.32 × 10^-6 emu/gm Oe (χ0)
,Inverse Heusler (XA),320,320 K,,,10.1016/j.jmmm.2020.167522,TRUE,,,,,Cr2CoGa,,,Cr2.0Co1Ga1,,,
,L21 disordered,780,780 K,,,10.1016/j.jmmm.2020.166536,TRUE,{'a': '5.78 Å'},FCC,4 μB,"3.92 μB/f.u. at 3 K, 3.6 μB/f.u. at 300 K",CoRuMnSi,,,Si1Mn1Co1Ru1,,,
,DO3,620,620 K,,,10.1016/j.jmmm.2020.166536,TRUE,,,,,CoFeMnSi,,,Si1Mn1Fe1Co1,,,
,,,,,,10.1016/j.jmmm.2003.11.048,TRUE,,,,,La2CuO4,174,174 K,O4.0Cu1La2.0,,,
,,,,,,10.1016/j.jmmm.2003.11.048,TRUE,,,,,La2CuO4,168,168 K,O4.0Cu1La2.0,,,
,Layered Perovskite,118,118K,,,10.1016/j.jmmm.2010.02.037,TRUE,"{'a': '3.8661 Å', 'c': '20.1759 Å'}",Monophasic,,,La1.32Sr1.68Mn2O7,,,O7.0Mn2.0Sr1.68La1.32,,,
,Hexagonal close-packed,293,293 K,,,10.1016/j.jmmm.2022.170164,TRUE,"{'a': '3.623 Å', 'b': '3.623 Å', 'c': '5.822 Å'}",Hexagonal,,,Gd,,,Gd1,,P6_3/mmc,
,Primitive,105,105 K,,,10.1016/j.jmmm.2019.165698,TRUE,{'c': '28 Å'},,"1.59 μB (inner Ru), 0.92 μB (outer Ru)",,Sr4Ru3O10,,,O10.0Sr4.0Ru3.0,,P bam,
,,160,160 K,,,10.1016/j.jmmm.2019.165698,TRUE,,,,,SrRuO3,,,O3.0Sr1Ru1,,,
,,,,,,10.1016/j.jmmm.2019.165698,TRUE,,,,,Ca2RuO4,110,110 K,O4.0Ca2.0Ru1,,,
,,,,,,10.1016/j.jmmm.2019.165698,TRUE,,,,,Ca3Ru2O7,56,56 K,O7.0Ca3.0Ru2.0,,,
,"Hexagonal, Orthorhombic, Monoclinic",,,,,10.1016/j.jmmm.2021.167909,TRUE,,,,,Mn5Si3,83,"100 K, 66 K",Si3.0Mn5.0,,"P63/mcm, Ccmm, Cc2m",
,Cubic,41.5,41.5 K,,,10.1016/S0304-8853(01)00564-9,TRUE,{'a': '3.568 Å'},Cu3Au (L12),0.23 μB/cell,,Ni3Al,,,Al1Ni3.0,,,
< 5 Oe,Hexagonal,323,323 K,,,10.1016/j.jmmm.2020.166597,TRUE,,,1.5–1.7 μB/T.M.,,MnFe4Si3,,,Si3.0Mn1Fe4.0,< 0.05 Am^2/kg,P63/mcm,
,Hexagonal,,,,,10.1016/j.jmmm.2009.06.022,TRUE,"{'a': '8.2310 Å', 'c': '8.4391 Å'}",Hexagonal,1.3 μB at 1.3 K,0.46 μB/Ce at 55 kOe,Ce2RhSi3,5,5 K,Si3.0Rh1Ce2.0,,P6mc,
,Orthorhombic,138,138 K,210±10 K,210,10.1016/j.jmmm.2013.01.009,TRUE,"{'a': '0.3912 nm', 'b': '0.3912 nm', 'c': '0.3912 nm'}",Pseudocubic,5.4±0.1 μB,,Nd0.5Sr0.5MnO3,,,O3.0Mn1Sr0.5Nd0.5,,,
1.7 kOe,Nanocrystalline,483.15,210 °C,,,10.1016/j.jmmm.2017.01.062,TRUE,,,,,Ce10Fe84B6,,,B6.0Fe84.0Ce10.0,6 kG,,
0 T,Cubic,,,,,10.1016/j.jmmm.2016.11.129,TRUE,,NaZn13-type,,,La0.9Nd0.1Fe11.5Al1.5,187,187 K,Al1.5Fe11.5La0.9Nd0.1,,Fm-3m,
,,173,173 K,,,10.1016/j.jmmm.2011.05.059,TRUE,,,,,Ga0.984Mn0.016As,,,Mn0.016Ga0.984As1,,,
,Orthorhombic,122,122 K,,,10.1016/j.jmmm.2014.01.013,TRUE,"{'a': '5.2852 Å', 'b': '7.4796 Å', 'c': '5.3103 Å'}",,,,Ca0.85Eu0.15MnO3,,,O3.0Ca0.85Mn1Eu0.15,,Pnma,
15 kOe,Rhombohedral,690,690 K,,,10.1016/j.jmmm.2017.06.041,TRUE,"{'a': '5.0672 Å', 'c': '48.755 Å'}",Ce5Co19-type,27 μB,83 Am^2/kg,Pr5Co19,,,Co19.0Pr5.0,50 Am^2/kg,R-3m,
,Cubic,391,391 K,,,10.1016/j.jmmm.2010.08.005,TRUE,{'a': '5.823 Å'},L21,1.9 μB,,Co2TiGe,,,Ti1Co2.0Ge1,,Fm-3m,
0 Oe,Sigma phase,169,169 K,178 K,178,10.1016/j.jmmm.2017.01.103,TRUE,,,0.4 μB,,Fe60V40,,,V40.0Fe60.0,0.64 cm^3/g,,
,Sigma phase,312,312 K,,,10.1016/j.jmmm.2017.01.103,TRUE,,,0.6 μB,,Fe66V34,,,V34.0Fe66.0,,,
0.2 T,Cubic Pyrochlore,39,39 K,41.5 K,41.5,10.1016/j.jmmm.2019.165494,TRUE,{'a': '9.9419 Å'},Cubic,17.3 μB/f.u.,,Dy2Mn2O7,,,O7.0Mn2.0Dy2.0,,Fd-3m (No. 227),
0.1 T,Cubic Pyrochlore,38,38 K,39.8 K,39.8,10.1016/j.jmmm.2019.165494,TRUE,{'a': '9.9211 Å'},Cubic,15.1 μB/f.u.,,Ho2Mn2O7,,,O7.0Mn2.0Ho2.0,,Fd-3m (No. 227),
20 Oe,Cubic Pyrochlore,38,38 K,43.5 K,43.5,10.1016/j.jmmm.2019.165494,TRUE,{'a': '9.8357 Å'},Cubic,10.4 μB/f.u.,,Yb2Mn2O7,,,O7.0Mn2.0Yb2.0,,Fd-3m (No. 227),
,Cubic Pyrochlore,35,35 K,37.4 K,37.4,10.1016/j.jmmm.2019.165494,TRUE,{'a': '9.8842 Å'},Cubic,18.9 μB/f.u.,,Er2Mn2O7,,,O7.0Mn2.0Er2.0,,Fd-3m (No. 227),
0.14 T,α-ThSi2-type,12.5,12.5 K,,,10.1016/j.jmmm.2021.168833,TRUE,"{'a': '4.2381 Å', 'b': '4.2381 Å', 'c': '14.170 Å'}",Tetragonal,0.96 μB/f.u.,,CeSi1.2Ga0.8,,,Si1.2Ga0.8Ce1,,"I 41/amd, No. 141",
0.14 T,α-GdSi2-type,12.5,12.5 K,,,10.1016/j.jmmm.2021.168833,TRUE,"{'a': '4.2506 Å', 'b': '4.2260 Å', 'c': '14.174 Å'}",Orthorhombic,0.96 μB/f.u.,,CeSi1.2Ga0.8,,,Si1.2Ga0.8Ce1,,"Imma, No. 74",
,,371,371 K,,,10.1016/j.jmmm.2018.01.065,TRUE,,,,74 emu/g,Ni45Co5Mn35In14Gd1,,,Mn35.0Co5.0Ni45.0In14.0Gd1.0,,,
,,585.15,312°C,,,10.1016/S0304-8853(01)00148-2,TRUE,,,,,Nd2Fe14B,,,B1Fe14.0Nd2.0,,,
,Body-centered tetragonal,778.15,505°C,,,10.1016/S0304-8853(01)00148-2,TRUE,,,,,Fe3B,,,B1Fe3.0,,,
2.36 T,Tetragonal,680,680 K,,,10.1016/j.jmmm.2007.06.027,TRUE,,,,,Nd40Fe30Co15Al10B5,,,B5.0Al10.0Fe30.0Co15.0Nd40.0,,,
,ThCr2Si2-type,294,294 K,,,10.1016/j.jmmm.2009.09.074,TRUE,"{'a': '4.074', 'c': '10.548'}",Body-centered tetragonal,,33.35 emu/g at 270 K,La0.65Ce0.35Mn2Si2,200,200 K,Si2.0Mn2.0La0.65Ce0.35,,I4/mmm,
,ThCr2Si2-type,290,290 K,,,10.1016/j.jmmm.2009.09.074,TRUE,"{'a': '4.071', 'c': '10.553'}",Body-centered tetragonal,,34.28 emu/g at 260 K,La0.55Ce0.45Mn2Si2,254,254 K,Si2.0Mn2.0La0.55Ce0.45,,I4/mmm,
,ThCr2Si2-type,,,,,10.1016/j.jmmm.2009.09.074,TRUE,,Body-centered tetragonal,,,CeMn2Si2,465,465 K,Si2.0Mn2.0Ce1,,I4/mmm,
,ThCr2Si2-type,310,310 K,,,10.1016/j.jmmm.2009.09.074,TRUE,,Body-centered tetragonal,,,LaMn2Si2,470,470 K,Si2.0Mn2.0La1,,I4/mmm,
,Fm-3m,38,38 K,58 K,58,10.1016/j.jmmm.2019.166106,TRUE,{'a': '6.1918'},Cubic,0.98 μB (Fe),,Ti2FeAl,,,Al1Ti2.0Fe1,,Fm-3m,
,Fm-3m,27,27 K,48.7 K,48.7,10.1016/j.jmmm.2019.166106,TRUE,{'a': '6.1765'},Cubic,1.316 μB (Fe),,Ti2FeGa,,,Ti2.0Fe1Ga1,,Fm-3m,
,Orthorhombic,120,120 K,,,10.1016/j.jmmm.2022.169625,TRUE,"{'a': '5.470 Å', 'b': '5.457 Å', 'c': '7.740 Å'}",Perovskite,,,La0.7Ca0.3Mn0.9Cu0.1O3,,,O3.0Ca0.3Mn0.9Cu0.1La0.7,,Pbnm,
,Orthorhombic,222.2,222.2 K,,,10.1016/j.jmmm.2022.169625,TRUE,,Perovskite,,,La0.7Ca0.3MnO3,,,O3.0Ca0.3Mn1La0.7,,,
2 kOe,Tetragonal,,,165.7 K,165.7,10.1016/j.jmmm.2018.07.091,TRUE,"{'a': '5.495 Å', 'b': '5.495 Å', 'c': '25.773 Å'}",Layered,0.68 μB,,Sr2IrO4,221,221 K,O4.0Sr2.0Ir1,,I41/acd,
,Nanocrystalline,160,160 K,,,10.1016/j.jmmm.2003.12.828,TRUE,,,,,Fe66.5Cr7Si13.5B9CuNb3,,,B9.0Si13.5Cr7.0Fe66.5Cu1Nb3.0,,,
,Heusler L21,448,448 K,,,10.1016/j.jmmm.2005.04.010,TRUE,{'a': '0.6226 nm'},Cubic,0.78 μB per Co atom,26.47 emu/g,Co2ZrSn,,,Co2.0Zr1Sn1,,Fm3m,
,Tetragonal,,,,,10.1016/j.jmmm.2009.01.041,TRUE,,,,,Mn3O4,42,42 K,O4.0Mn3.0,,I41/amd,
,,,,,,10.1016/j.jmmm.2006.08.013,TRUE,,,,,HoNi2B2C,5.25,5.25 K,B2.0C1Ni2.0Ho1,,,
"{'As prepared': 1.8, '0.5h': 1.2, '1h': 0.2, '5h': 0.3}","{'Austenite': 'L21', 'Martensite': '14M'}",328.5,"{'Austenite': 332, 'Martensite': 325}",,,10.1016/j.jmmm.2018.08.056,TRUE,"{'a': {'As prepared': 5.757, '0.5h': 5.752, '1h': 5.742, '5h': 5.738}, 'c': {'As prepared': 6.449, '0.5h': 6.45, '1h': 6.434, '5h': 6.424}}","{'Austenite': 'Cubic', 'Martensite': 'Tetragonal'}",,"{'As prepared': 35.2, '0.5h': 40.5, '1h': 40.5, '5h': 68.3}",Ni54Mn19Ga27,,,Mn19.0Ni54.0Ga27.0,,"{'Austenite': 'Fm-3m', 'Martensite': 'I4/mmm'}",
4122 Oe (at 2 K),Orthorhombic,576,576 K,32 K,32,10.1016/j.jmmm.2018.12.044,TRUE,"{'a': '5.471 Å', 'b': '5.508 Å', 'c': '7.750 Å'}",Pbnm,8.146 μB/F.U,,Pr2FeMnO6,,,O6.0Mn1Fe1Pr2.0,0.380 μB/F.U (at 2 K),Pbnm,
,,220,220 K,,,10.1016/j.jmmm.2018.12.044,FALSE,,,,,Pr0.75Sr0.25MnO3,,,O3.0Mn1Sr0.25Pr0.75,,,
,,360,360 K,,,10.1016/j.jmmm.2018.12.044,TRUE,,,,,La0.75Sr0.25MnO3,,,O3.0Mn1Sr0.25La0.75,,,
76.71 Oe,Tetragonal,300,Above 300 K,,,10.1016/j.jmmm.2020.166618,TRUE,,,,0.0067 emu/g,In2S3,,,S3.0In2.0,0.0009 emu/g,,
,Orthorhombic,,,,,10.1016/j.jmmm.2020.167562,TRUE,,,,,TmFeO3,638.9,638.9 K,O3.0Fe1Tm1,,Pbnm,
>2134 kA/m,,610.15,337°C,,,10.1016/j.jmmm.2010.07.036,TRUE,,,,,NdFeB,,,B1Fe1Nd1,1.168 T,,
>2134 kA/m,,610.15,337°C,,,10.1016/j.jmmm.2010.07.036,TRUE,,,,,NdDyFeCoBAl,,,B1Al1Fe1Co1Nd1Dy1,1.168 T,,
,Nanocrystalline,553.15,280°C,,,10.1016/S0304-8853(03)00299-3,TRUE,,,,,Nd7.5Fe84.8Ti7.1Nb0.6,,,Ti7.1Fe84.8Nb0.6Nd7.5,,,
,Nanocrystalline,353.15,80°C,,,10.1016/S0304-8853(03)00299-3,TRUE,,,,,Nd7.5Fe84.8Ti4.7Nb3.0,,,Ti4.7Fe84.8Nb3.0Nd7.5,,,
,,553.15,280°C,,,10.1016/S0304-8853(03)00299-3,TRUE,,,,,NdFe11Ti,,,Ti1Fe11.0Nd1,,,
,,353.15,80°C,,,10.1016/S0304-8853(03)00299-3,TRUE,,,,,Nd2Fe17,,,Fe17.0Nd2.0,,,
,Orthorhombic,,,-15 K,-15,10.1016/j.jmmm.2019.03.023,TRUE,"{'a': '4.061 Å', 'b': '4.295 Å', 'c': '18.081 Å'}",,0.55 μB/f.u.,,Ce3NiSi3,6,6 K,Si3.0Ni1Ce3.0,,Immm,
,,,,,,10.1016/j.jmmm.2019.03.023,TRUE,,,,,Ce2NiSi3,3.5,3.5 K,Si3.0Ni1Ce2.0,,,
,Zinc-blende (ZB),,,"261 K (Bulk), 274 K (8.0 nm), 254 K (7.3 nm), 322 K (6.7 nm)",161.8571429,10.1016/j.jmmm.2005.03.058,TRUE,,Cubic,,,Cd0.5Mn0.5Te,,,Mn0.5Cd0.5Te1,,,
1.7–2.1 kOe,Tetragonal,820,820 K,,,10.1016/j.jmmm.2016.12.140,TRUE,"{'a': '3.738 Å', 'c': '6.986 Å'}",D022,0.63 μB at 5 T,,Mn3Ge,,,Mn3.0Ge1,,,
,,,,,,10.1016/S0304-8853(00)00786-1,TRUE,,,,,CePd2Al3,2.7,2.7 K,Al3.0Pd2.0Ce1,,,
"0.0720 T at 300 K, 0.2266 T at 5 K",Orthorhombic,,,,,10.1016/j.jmmm.2016.02.054,TRUE,,Distorted Perovskite,,,HoFeO3,643,643 K,O3.0Fe1Ho1,0.021 μB/f.u. at 300 K,Pbnm,
0.0743 T at 5 K,Orthorhombic,,,-10 K,-10,10.1016/j.jmmm.2016.02.054,TRUE,,Distorted Perovskite,11.619 μB,,HoFe0.5Cr0.5O3,273,273 K,O3.0Cr0.5Fe0.5Ho1,,Pbnm,
,Orthorhombic,,,-16.1 K,-16.1,10.1016/j.jmmm.2004.05.024,TRUE,"{'a': '4.1689 Å', 'b': '4.0790 Å', 'c': '22.047 Å'}",Orthorhombic,0.9 μB/mol Ce,,Ce2PdGe6,11.5,11.5 K,Ge6.0Pd1Ce2.0,,Amm2,2.52 μB
,Orthorhombic,,,-7.0 K,-7,10.1016/j.jmmm.2004.05.024,TRUE,"{'a': '4.143 Å', 'b': '4.076 Å', 'c': '22.146 Å'}",Orthorhombic,0.9 μB/mol Ce,,Ce2PtGe6,9.9,9.9 K,Ge6.0Ce2.0Pt1,,Amm2,2.43 μB
,Orthorhombic,,,,,10.1016/j.jmmm.2004.05.024,TRUE,,,,,Ce2NiGe6,10.4,10.4 K,Ni1Ge6.0Ce2.0,,Amm2,
,Orthorhombic,,,,,10.1016/j.jmmm.2004.05.024,TRUE,,,,,Ce2CuGe6,15,15 K,Cu1Ge6.0Ce2.0,,Amm2,
,Orthorhombic,345,345 K,,,10.1016/j.jmmm.2021.167912,TRUE,"{'a': '5.31 Å', 'b': '4.09 Å', 'c': '7.07 Å'}",TiNiSi-type,,,MnCoGe,,,Mn1Co1Ge1,,Pnma,
,Mixed Orthorhombic and Hexagonal,270,270 K,,,10.1016/j.jmmm.2021.167912,TRUE,,,,,Mn0.8Sm0.2CoGe,,,Mn0.8Co1Ge1Sm0.2,,,
,Mixed Orthorhombic and Hexagonal,315,315 K,,,10.1016/j.jmmm.2021.167912,TRUE,,,,,Mn0.6Sm0.4CoGe,,,Mn0.6Co1Ge1Sm0.4,,,
,Mixed Orthorhombic and Hexagonal,270,270 K,,,10.1016/j.jmmm.2021.167912,TRUE,"{'a': '5.907 Å', 'b': '3.817 Å', 'c': '7.044 Å'}",,,,Mn0.4Sm0.6CoGe,30,30 K,Mn0.4Co1Ge1Sm0.6,,,
,Hexagonal,,,0.4 K,0.4,10.1016/j.jmmm.2010.11.028,TRUE,"{'a': '7.421 Å', 'c': '3.677 Å'}",ZrNiAl-type,7.2 μB,4.2 μB per Tm atom at 5 T,TmNiIn,2.5,2.5 K,Ni1In1Tm1,,P6̅2m,
,,14.5,14.5 K,,,10.1016/j.jmmm.2010.11.028,TRUE,,,,,NdNiIn,,,Ni1In1Nd1,,,
,,93.5,93.5 K,,,10.1016/j.jmmm.2010.11.028,TRUE,,,,,GdNiIn,,,Ni1In1Gd1,,,
,,,,,,10.1016/j.jmmm.2010.11.028,TRUE,,,,,TbNiIn,68,68 K,Ni1In1Tb1,,,
,,,,,,10.1016/j.jmmm.2010.11.028,TRUE,,,,,DyNiIn,32,32 K,Ni1In1Dy1,,,
,,20,20 K,,,10.1016/j.jmmm.2010.11.028,TRUE,,,,,HoNiIn,,,Ni1In1Ho1,,,
,,9,9 K,,,10.1016/j.jmmm.2010.11.028,TRUE,,,,,ErNiIn,,,Ni1In1Er1,,,
,Perovskite,175,175 K,,,10.1016/j.jmmm.2018.01.083,TRUE,"{'a': '3.829 Å', 'b': '3.829 Å', 'c': '3.829 Å'}",Cubic,2.10 μB/Co,,SrCoO2.90,,,O2.9Co1Sr1,,Pm-3m,
,Perovskite,163,163 K,,,10.1016/j.jmmm.2018.01.083,TRUE,"{'a': '3.829 Å', 'b': '3.829 Å', 'c': '3.829 Å'}",Cubic,0.86 μB/Co,,SrCoO2.835,,,O2.835Co1Sr1,,Pm-3m,
,Perovskite,150,150 K,,,10.1016/j.jmmm.2018.01.083,TRUE,"{'a': '3.829 Å', 'b': '3.829 Å', 'c': '3.829 Å'}",Cubic,0.70 μB/Co,,SrCoO2.72,,,O2.72Co1Sr1,,Pm-3m,
,,,,,,10.1016/j.jmmm.2003.12.469,TRUE,,,,,Fe in Er,84.4,84.4 K,Fe1Er1,,,
,Orthorhombic,,,-15 K,-15,10.1016/j.jmmm.2018.07.027,TRUE,"{'a': '12.7745 Å', 'b': '7.4905 Å', 'c': '9.3632 Å'}",Y2Co3Ga9 type,9 μB/Gd,,Gd2Co3Al9,9.6,9.6 K,Al9.0Co3.0Gd2.0,,Cmcm (No. 63),
,Spinel,,,,,10.1016/j.jmmm.2010.11.083,TRUE,,Cubic to Tetragonal,,,MnV2O4,57,57 K,O4.0V2.0Mn1,,Fd-3m,
,,350,340-360K,,,10.1016/j.jmmm.2006.02.024,TRUE,,,,,La0.7Sr0.3MnO3,,,O3.0Mn1Sr0.3La0.7,,,
,L21 austenitic (cubic),302,302 K,,,10.1016/j.jmmm.2008.04.029,TRUE,,,,"Measured, but specific value not provided",Ni52.5Mn24.5Ga23,,,Mn24.5Ni52.5Ga23.0,"Measured, but specific value not provided",,
,Hexagonal,,,,,10.1016/j.jmmm.2018.12.104,TRUE,"{'a': '5.19 Å', 'c': '3.63 Å'}",Kagome,5 μB,,Tb3Ru4Al12,22,22 K,Al12.0Ru4.0Tb3.0,,P63/mmc,
,bcc,731,731 K,,,10.1016/j.jmmm.2010.08.009,TRUE,,,,"135 emu/g at 77 K, 126 emu/g at 300 K",Co36Fe36Si3Al1Nb4B20,,,B20.0Al1.0Si3.0Fe36.0Co36.0Nb4.0,,,
,Hexagonal magnetoplumbite,653,653 K,,,10.1016/S0304-8853(00)01333-0,TRUE,"{'a': '5.88 Å', 'c': '23.08 Å'}",,,2.13×10^−3 emu,CaLaFe11O19,,,O19.0Ca1Fe11.0La1,,P63/mmc or D46h,4.26×10^−3 emu/Oe
,Hexagonal magnetoplumbite,718,718 K,,,10.1016/S0304-8853(00)01333-0,FALSE,"{'a': '5.81 Å', 'c': '22.91 Å'}",,,,CaFe12O19,,,O19.0Ca1Fe12.0,,,
,Hexagonal magnetoplumbite,670,670 K,,,10.1016/S0304-8853(00)01333-0,FALSE,,,,,LaFe12O19,,,O19.0Fe12.0La1,,,
,Hexagonal magnetoplumbite,723,723 K,,,10.1016/S0304-8853(00)01333-0,TRUE,"{'a': '5.88 Å', 'c': '23.17 Å'}",,,,BaFe12O19,,,O19.0Fe12.0Ba1,,,
,Hexagonal,,,,,10.1016/j.jmmm.2019.165821,TRUE,,Close-packed hexagonal,,,SrFe12O19,323,323 K,O19.0Fe12.0Sr1,,"P63/mmc (300 K), P-62c (350 K)",
0.08 Oe,bcc,800,800 K,,,10.1016/j.jmmm.2006.07.013,TRUE,,,,,Fe88Zr7B4Cu1,,,B4.0Fe88.0Cu1.0Zr7.0,,,
0.32 Oe,bcc,750,750 K,,,10.1016/j.jmmm.2006.07.013,TRUE,,,,,Fe44Co44Zr7B4Cu1,,,B4.0Fe44.0Co44.0Cu1.0Zr7.0,,,
,Rhombohedral,,,,,10.1016/j.jmmm.2014.04.008,TRUE,"{'a': '5.5755 Å', 'c': '13.857 Å'}",,,0.09 emu/g,BiFeO3,640,640 K,O3.0Fe1Bi1,,,
,Rhombohedral,,,,,10.1016/j.jmmm.2014.04.008,TRUE,"{'a': '5.5551 Å', 'c': '13.754 Å'}",,,0.39 emu/g,Bi0.9Tb0.1Fe0.9Mn0.1O3,493,"443 K, 543 K",O3.0Mn0.1Fe0.9Tb0.1Bi0.9,,,
